"SetID","SetName","Paper"
"UST","Unstable","1"
"UNH","Unhinged","1"
"UGL","Unglued","1"
"pWOS","Wizards of the Coast Online Store","1"
"pWOR","Worlds","1"
"pWCQ","World Magic Cup Qualifiers","1"
"pSUS","Super Series","1"
"pSUM","Summer of Magic","1"
"pREL","Release Events","1"
"pPRO","Pro Tour","1"
"pPRE","Prerelease Events","1"
"pPOD","Portal Demo Game","1"
"pMPR","Magic Player Rewards","1"
"pMGD","Magic Game Day","1"
"pMEI","Media Inserts","1"
"pLPA","Launch Parties","1"
"pLGM","Legend Membership","1"
"pJGP","Judge Gift Program","1"
"pHHO","Happy Holidays","1"
"pWPN","Wizards Play Network","1"
"pGTW","Gateway","1"
"pGRU","Guru","1"
"pGPX","Grand Prix","1"
"pFNM","Friday Night Magic","1"
"pELP","European Land Program","1"
"pDRC","Dragon Con","1"
"pCMP","Champs and States","1"
"pCEL","Celebration","1"
"pARL","Arena League","1"
"pALP","Asia Pacific Land Program","1"
"p2HG","Two-Headed Giant Tournament","1"
"p15A","15th Anniversary","1"
"PD3","Premium Deck Series: Graveborn","1"
"PD2","Premium Deck Series: Fire and Lightning","1"
"H09","Premium Deck Series: Slivers","1"
"PTK","Portal Three Kingdoms","1"
"POR","Portal","1"
"PO2","Portal Second Age","1"
"PCA","Planechase Anthology","1"
"PC2","Planechase 2012 Edition","1"
"HOP","Planechase","1"
"VMA","Vintage Masters","0"
"MMA","Modern Masters","1"
"MM3","Modern Masters 2017 Edition","1"
"MM2","Modern Masters 2015 Edition","1"
"MED","Masters Edition","0"
"ME4","Masters Edition IV","0"
"ME3","Masters Edition III","0"
"ME2","Masters Edition II","0"
"IMA","Iconic Masters","1"
"EMA","Eternal Masters","1"
"A25","Masters 25","1"
"MPS_AKH","Masterpiece Series: Amonkhet Invocations","1"
"MPS","Masterpiece Series: Kaladesh Inventions","1"
"EXP","Zendikar Expeditions","1"
"E02","Explorers of Ixalan","1"
"V17","From the Vault: Transform","1"
"V16","From the Vault: Lore","1"
"V15","From the Vault: Angels","1"
"V14","From the Vault: Annihilation (2014)","1"
"V13","From the Vault: Twenty","1"
"V12","From the Vault: Realms","1"
"V11","From the Vault: Legends","1"
"V10","From the Vault: Relics","1"
"V09","From the Vault: Exiled","1"
"DRB","From the Vault: Dragons","1"
"EVG","Duel Decks: Elves vs. Goblins","1"
"DDT","Duel Decks: Merfolk vs. Goblins","1"
"DDS","Duel Decks: Mind vs. Might","1"
"DDR","Duel Decks: Nissa vs. Ob Nixilis","1"
"DDQ","Duel Decks: Blessed vs. Cursed","1"
"DDP","Duel Decks: Zendikar vs. Eldrazi","1"
"DDO","Duel Decks: Elspeth vs. Kiora","1"
"DDN","Duel Decks: Speed vs. Cunning","1"
"DDM","Duel Decks: Jace vs. Vraska","1"
"DDL","Duel Decks: Heroes vs. Monsters","1"
"DDK","Duel Decks: Sorin vs. Tibalt","1"
"DDJ","Duel Decks: Izzet vs. Golgari","1"
"DDI","Duel Decks: Venser vs. Koth","1"
"DDH","Duel Decks: Ajani vs. Nicol Bolas","1"
"DDG","Duel Decks: Knights vs. Dragons","1"
"DDF","Duel Decks: Elspeth vs. Tezzeret","1"
"DDE","Duel Decks: Phyrexia vs. the Coalition","1"
"DDD","Duel Decks: Garruk vs. Liliana","1"
"DDC","Duel Decks: Divine vs. Demonic","1"
"DD3_JVC","Duel Decks Anthology, Jace vs. Chandra","1"
"DD3_GVL","Duel Decks Anthology, Garruk vs. Liliana","1"
"DD3_EVG","Duel Decks Anthology, Elves vs. Goblins","1"
"DD3_DVD","Duel Decks Anthology, Divine vs. Demonic","1"
"DD2","Duel Decks: Jace vs. Chandra","1"
"CNS","Magic: The Gatheringa?""Conspiracy","1"
"CN2","Conspiracy: Take the Crown","1"
"CMD","Magic: The Gathering-Commander","1"
"CMA","Commander Anthology","1"
"CM1","Commander's Arsenal","1"
"C17","Commander 2017","1"
"C16","Commander 2016","1"
"C15","Commander 2015","1"
"C14","Commander 2014","1"
"C13","Commander 2013 Edition","1"
"CEI","International Collector's Edition","1"
"CED","Collector's Edition","1"
"E01","Archenemy: Nicol Bolas","1"
"ARC","Archenemy","1"
"ZEN","Zendikar","1"
"XLN","Ixalan","1"
"WWK","Worldwake","1"
"WTH","Weatherlight","1"
"W17","Welcome Deck 2017","1"
"W16","Welcome Deck 2016","1"
"VIS","Visions","1"
