"SetCode","SetName","Digital"
"ss1","Signature Spellbook: Jace","0"
"dom","Dominaria","0"
"pdom","Dominaria Promos","0"
"tdom","Dominaria Tokens","0"
"tddu","Duel Decks: Elves vs. Inventors Tokens","0"
"ddu","Duel Decks: Elves vs. Inventors","0"
"a25","Masters 25","0"
"ta25","Masters 25 Tokens","0"
"plny","2018 Lunar New Year","0"
"pnat","Nationals Promos","0"
"trix","Rivals of Ixalan Tokens","0"
"prix","Rivals of Ixalan Promos","0"
"rix","Rivals of Ixalan","0"
"f18","Friday Night Magic 2018","0"
"ust","Unstable","0"
"tima","Iconic Masters Tokens","0"
"v17","From the Vault: Transform","0"
"pxtc","XLN Treasure Chest","0"
"e02","Explorers of Ixalan","0"
"ima","Iconic Masters","0"
"tust","Unstable Tokens","0"
"pust","Unstable Promos","0"
"ddt","Duel Decks: Merfolk vs. Goblins","0"
"tddt","Duel Decks: Merfolk vs. Goblins Tokens","0"
"pgp17","2017 Gift Pack","0"
"xln","Ixalan","0"
"pxln","Ixalan Promos","0"
"txln","Ixalan Tokens","0"
"pss2","XLN Standard Showdown","0"
"h17","HasCon 2017","0"
"htr","2016 Heroes of the Realm","0"
"te01","Archenemy: Nicol Bolas Tokens","0"
"oc17","Commander 2017 Oversized","0"
"c17","Commander 2017","0"
"tc17","Commander 2017 Tokens","0"
"ps17","San Diego Comic-Con 2017","0"
"hou","Hour of Devastation","0"
"thou","Hour of Devastation Tokens","0"
"phou","Hour of Devastation Promos","0"
"e01","Archenemy: Nicol Bolas","0"
"tcma","Commander Anthology Tokens","0"
"cma","Commander Anthology","0"
"akh","Amonkhet","0"
"pakh","Amonkhet Promos","0"
"takh","Amonkhet Tokens","0"
"mp2","Amonkhet Invocations","0"
"w17","Welcome Deck 2017","0"
"tdds","Duel Decks: Mind vs. Might Tokens","0"
"dds","Duel Decks: Mind vs. Might","0"
"mm3","Modern Masters 2017","0"
"tmm3","Modern Masters 2017 Tokens","0"
"taer","Aether Revolt Tokens","0"
"aer","Aether Revolt","0"
"paer","Aether Revolt Promos","0"
"l17","League Tokens 2017","0"
"f17","Friday Night Magic 2017","0"
"j17","Judge Gift Cards 2017","0"
"pca","Planechase Anthology","0"
"tpca","Planechase Anthology Tokens","0"
"pz2","You Make the Cube","1"
"oc16","Commander 2016 Oversized","0"
"tc16","Commander 2016 Tokens","0"
"c16","Commander 2016","0"
"ps16","San Diego Comic-Con 2016","0"
"kld","Kaladesh","0"
"tkld","Kaladesh Tokens","0"
"pkld","Kaladesh Promos","0"
"mps","Kaladesh Inventions","0"
"ddr","Duel Decks: Nissa vs. Ob Nixilis","0"
"tcn2","Conspiracy: Take the Crown Tokens","0"
"cn2","Conspiracy: Take the Crown","0"
"v16","From the Vault: Lore","0"
"emn","Eldritch Moon","0"
"temn","Eldritch Moon Tokens","0"
"pemn","Eldritch Moon Promos","0"
"ema","Eternal Masters","0"
"tema","Eternal Masters Tokens","0"
"soi","Shadows over Innistrad","0"
"tsoi","Shadows over Innistrad Tokens","0"
"psoi","Shadows over Innistrad Promos","0"
"w16","Welcome Deck 2016","0"
"ddq","Duel Decks: Blessed vs. Cursed","0"
"togw","Oath of the Gatewatch Tokens","0"
"ogw","Oath of the Gatewatch","0"
"pogw","Oath of the Gatewatch Promos","0"
"l16","League Tokens 2016","0"
"f16","Friday Night Magic 2016","0"
"j16","Judge Gift Cards 2016","0"
"pz1","Legendary Cube","1"
"oc15","Commander 2015 Oversized","0"
"c15","Commander 2015","0"
"tc15","Commander 2015 Tokens","0"
"bfz","Battle for Zendikar","0"
"tbfz","Battle for Zendikar Tokens","0"
"pss1","BFZ Standard Series","0"
